filename,code_token_count,input_token_count_with_special,exceeds_510
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,58,60,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,54,56,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,67,69,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,78,80,False
slice_CWE134_01-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,74,76,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_02-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_03-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_05-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_07-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_08-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_09-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_snprintf_1.c,87,89,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_vfprintf_1.c,99,101,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_vprintf_1.c,95,97,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_file_fprintf_1.c,60,62,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_file_printf_1.c,56,58,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_file_snprintf_1.c,69,71,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_file_vfprintf_1.c,81,83,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_file_vprintf_1.c,77,79,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf_1.c,66,68,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_listen_socket_printf_1.c,62,64,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_1.c,75,77,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_1.c,87,89,False
slice_CWE134_11-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf_1.c,83,85,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_1.c,66,68,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_connect_socket_printf_1.c,62,64,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_connect_socket_snprintf_1.c,75,77,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_1.c,87,89,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_connect_socket_vprintf_1.c,83,85,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_console_fprintf_1.c,123,125,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_console_printf_1.c,119,121,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_console_snprintf_1.c,132,134,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_console_vfprintf_1.c,144,146,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_console_vprintf_1.c,140,142,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_environment_fprintf_1.c,78,80,False
slice_CWE134_12-CWE134_Uncontrolled_Format_String__char_environment_printf_1.c,74,76,False
